algorithm, merge distance count, search ef, 5@recall, search distance count
merge naive, 8683010381, 32,0.8929600000000001, 772.3489
merge naive, 8683010381, 40,0.9169200000000001, 896.6725
merge naive, 8683010381, 64,0.95306, 1256.9268
merge naive-m,960554605, 32,0.8433, 604.5765
merge naive-m,960554605, 40,0.8733800000000002, 700.0272
merge naive-m,960554605, 64,0.9237400000000001, 977.8111
merge1, 696869746, 32, 0.83794, 609.8437
merge1, 696869746, 40,0.8689399999999999, 705.2153
merge1, 696869746, 64,0.9193399999999999, 984.2736
merge2, 588321997, 32,0.8310200000000001, 610.77
merge2, 588321997, 40,0.8628600000000001, 706.6628
merge2, 588321997, 64,0.9152800000000001, 986.3936
